personId,age,sex,economic_status,income,carAvail,restricted_mobility,homeX,homeY,"acc jakob (policy network, base events+plans)",acc base default,acc policy default,,,,"jakob(policy network, base events+plans)",base default,policy default
bb_6081f90e,18,f,medium,3000,always,FALSE,775869.2,5829031.3,-5.970067906,-5.963674108,-5.822125572,,,,,,
berlin_a5ccc49d,53,f,very_low,500,always,FALSE,812094.7288232566,5831072.897292461,-24.42199908,-21.93588975,-26.04530941,,,,,,
berlin_0a023e3b,79,m,medium,2000,always,FALSE,793431.7152935455,5831942.422570187,-6.247823505,-4.537422853,-6.162202922,,,,,,
berlin_95114d68,85,m,very_high,5600,always,FALSE,804547.9506220559,5817236.676539736,-10.08040769,-7.021302943,-10.88851444,,,,,,
berlin_ff6b7f8d,45,f,medium,1500,always,FALSE,801454.0769489084,5821141.128135273,-10.55679393,-6.119215453,-11.50049732,,,,,,
berlin_bc6fa827,6,m,high,3000,never,FALSE,811686.1783728609,5831031.774769971,-10.34174331,-8.258857145,-11.10998371,,,,,,
berlin_c0be1f5f,63,f,very_high,4600,always,TRUE,800427.9688007259,5823382.993975085,-10.28412341,-2.166806708,-12.12443416,,,,,,
bb_e0a7f7eb,84,m,medium,2000,always,FALSE,788238.67,5815947.18,-9.667371546,-8.278548344,-9.34913707,,,,,,
berlin_79da2298,68,m,high,4600,always,FALSE,800231.1270390548,5825678.954396286,-17.79942638,-0.49171078,-17.93295356,,,,,,
berlin_2790162f,56,f,low,900,always,FALSE,806055.6560849374,5827235.342,-12.15257879,-9.048865475,-14.16040829,,,,,,
bb_b59b1411,85,f,low,1500,always,TRUE,776908.31,5792980.82,-10.04996153,-10.04996133,-10.02149773,,,,,,
bb_35f68812,57,m,medium,3000,always,FALSE,786006.35,5813018.65,-9.617888834,-8.386626228,-9.946467996,,,,,,
berlin_082d535b,43,f,medium,2000,always,FALSE,793822.9960541807,5836195.500716864,-8.819073217,-7.181517623,-9.074742115,,,,,,
berlin_d7b4859a,90,m,very_high,5600,always,TRUE,799783.4115462492,5832648.310409152,-3.583447718,-2.524742321,-3.515522958,,,,,,
berlin_0ad42796,77,m,medium,1500,always,FALSE,808261.0629261874,5820559.143067035,-14.42084995,-8.963094161,-15.43781122,,,,,,
berlin_d659066e,4,m,very_high,5600,never,FALSE,792341.2255788338,5839422.187409485,-8.109138977,-6.854853662,-8.43880104,,,,,,
bb_5514f531,91,f,low,900,always,TRUE,799938.95,5855205.64,-29.86682204,-29.4896803,-28.50169667,,,,,,
bb_77ae32c6,1,f,high,4600,never,FALSE,813374.77,5823815.13,-11.41722134,-8.694737767,-12.31622953,,,,,,
berlin_dd497895,29,f,low,2000,always,FALSE,805390.4215139099,5827799.3346053865,-7.107530246,-4.809779289,-8.504442174,,,,,,
berlin_1a24dcf9,78,m,medium,2000,always,FALSE,785531.5354,5830788.632473484,-2.673963886,-2.670570311,-2.857036079,,,,,,
bb_63407663,39,f,high,3000,always,TRUE,799530,5849055.39,-11.71680152,-10.76283605,-11.74909417,,,,,,
berlin_313d2b9c,31,m,low,900,always,FALSE,802379.5267444816,5827433.115,-13.13817321,-4.123408868,-16.13842343,,,,,,
bb_7d470415,73,m,medium,2600,always,FALSE,777330.78,5812889.14,-13.06697609,-12.06937552,-13.13591316,,,,,,
