id,xcoord,ycoord,time,car_accessibility_base,car_accessibility_policy,delta
15611,749517.63,5703686.9,28800,-185.2675591,-185.2675599,-7.62536E-07
15834,750517.63,5703686.9,28800,-181.8315842,-181.831585,-7.62536E-07
16057,751517.63,5703686.9,28800,-178.4254693,-178.4254701,-7.62536E-07
16280,752517.63,5703686.9,28800,-175.05144,-175.0514408,-7.62536E-07
16503,753517.63,5703686.9,28800,-171.7119243,-171.7119251,-7.62536E-07
16726,754517.63,5703686.9,28800,-168.4095727,-168.4095735,-7.62536E-07
16949,755517.63,5703686.9,28800,-165.14728,-165.1472808,-7.62536E-07
17172,756517.63,5703686.9,28800,-161.9282085,-161.9282093,-7.62537E-07
17395,757517.63,5703686.9,28800,-158.7558135,-158.7558142,-7.62536E-07
17618,758517.63,5703686.9,28800,-155.6338698,-155.6338705,-7.62536E-07
17841,759517.63,5703686.9,28800,-152.5665002,-152.5665009,-7.62536E-07
18064,760517.63,5703686.9,28800,-149.5582045,-149.5582053,-7.62537E-07
18287,761517.63,5703686.9,28800,-146.6138893,-146.6138901,-7.62536E-07
18510,762517.63,5703686.9,28800,-143.738897,-143.7388977,-7.62536E-07
18733,763517.63,5703686.9,28800,-140.9390333,-140.939034,-7.62536E-07
18956,764517.63,5703686.9,28800,-138.2205921,-138.2205928,-7.62536E-07
19179,765517.63,5703686.9,28800,-135.5903745,-135.5903753,-7.62536E-07
19402,766517.63,5703686.9,28800,-133.0557008,-133.0557015,-7.62536E-07
19625,767517.63,5703686.9,28800,-136.3257125,-136.3257139,-1.41868E-06
19848,768517.63,5703686.9,28800,-132.3872587,-132.3872601,-1.41868E-06
20071,769517.63,5703686.9,28800,-128.4546621,-128.4546635,-1.41868E-06
20294,770517.63,5703686.9,28800,-124.5287919,-124.5287933,-1.41868E-06
20517,771517.63,5703686.9,28800,-120.6106963,-120.6106977,-1.41867E-06
20740,772517.63,5703686.9,28800,-116.7016505,-116.7016519,-1.41868E-06
20963,773517.63,5703686.9,28800,-112.8032206,-112.803222,-1.41868E-06
21186,774517.63,5703686.9,28800,-108.9173501,-108.9173516,-1.41868E-06
21409,775517.63,5703686.9,28800,-105.0464789,-105.0464803,-1.41867E-06
21632,776517.63,5703686.9,28800,-101.1937086,-101.19371,-1.41867E-06
