personId,time,mode,age,sex,economic_status,carAvail,restricted_mobility,homeX,homeY,accessibility
berlin_df3d2bf7,28800.0,teleportedWalk,83,m,high,always,false,797567.6564790783,5830094.615300629,-18.305,
berlin_d5416505,28800.0,teleportedWalk,32,f,medium,always,false,796167.7719924535,5831876.212961273,-16.42,
berlin_793ecc7d,28800.0,teleportedWalk,24,f,medium,always,false,798940.0320097399,5826678.076457711,-18.291,
berlin_3d53defa,28800.0,teleportedWalk,29,f,low,always,false,798496.2381754704,5829607.007119709,-13.959000000000001,
berlin_0e023502,28800.0,teleportedWalk,9,m,low,never,false,798419.64863485,5828362.102755083,-14.63,
berlin_ba92eaf3,28800.0,teleportedWalk,53,f,high,always,false,793869.0521161248,5828218.787638313,-9.606666666666667,
berlin_4f9291f2,28800.0,teleportedWalk,45,f,low,always,false,799052.4742957912,5828778.960063091,-17.77,
berlin_e4ab1837,28800.0,teleportedWalk,78,m,medium,always,true,796209.4551556404,5832021.238758325,-25.799999999999997,
berlin_a5dcfc97,28800.0,teleportedWalk,33,f,medium,always,false,797416.2926902679,5831305.41086356,-16.14,
berlin_94cabf03,28800.0,teleportedWalk,80,m,high,always,false,794179.2747603895,5831973.599820659,-27.490000000000002,
berlin_aaab12c8,28800.0,teleportedWalk,63,f,low,always,false,799328.6607069247,5826896.16854669,-32.285,
berlin_c3810168,28800.0,teleportedWalk,55,f,medium,always,false,794145.8244461697,5828775.922350339,-7.74,
berlin_6f98ef85,28800.0,teleportedWalk,32,f,high,always,false,796898.3398243053,5832720.667227025,-21.596666666666668,
berlin_2b23061e,28800.0,teleportedWalk,56,f,medium,always,true,799790.9252485863,5826779.534571968,-23.946666666666665,
berlin_1332ead5,28800.0,teleportedWalk,7,m,very_low,never,false,793514.6838128597,5828261.637991947,-11.326666666666666,
berlin_c7281c4e,28800.0,teleportedWalk,6,m,low,never,false,793536.4563788685,5831775.65175186,-19.086666666666666,
berlin_a9033aff,28800.0,teleportedWalk,33,m,medium,always,false,798573.0113927375,5829980.954990077,-16.53666666666667,
berlin_629fb0aa,28800.0,teleportedWalk,52,m,medium,always,false,797449.3756943054,5831349.410333132,-16.423333333333332,
berlin_688ce8bc,28800.0,teleportedWalk,57,m,medium,always,false,796273.547176972,5831408.072537501,-14.143333333333333,
berlin_47fc07ea,28800.0,teleportedWalk,62,f,low,always,false,797515.8158861042,5830198.750160885,-18.45,
berlin_9a5efb83,28800.0,teleportedWalk,56,m,medium,always,false,797672.9909309237,5831520.68520023,-17.826666666666668,
berlin_d46f62e8,28800.0,teleportedWalk,57,f,medium,always,false,797140.375826115,5831627.119834284,-16.82,
berlin_a9ab7b39,28800.0,teleportedWalk,51,m,high,always,false,799955.2791234972,5827736.814859167,-23.09,
berlin_b2d4f891,28800.0,teleportedWalk,98,m,high,always,false,794834.108469117,5830442.39568361,-14.504999999999999,
berlin_08e4d299,28800.0,teleportedWalk,31,f,low,always,false,798390.0030210374,5827062.204768427,-16.836666666666666,
berlin_45c99ec5,28800.0,teleportedWalk,43,f,medium,always,false,794689.9893063672,5832278.278870253,-18.923333333333332,
berlin_5d775c3c,28800.0,teleportedWalk,42,f,very_low,always,false,798225.1079599177,5830099.904343785,-15.156666666666666,
berlin_50979974,28800.0,teleportedWalk,40,f,high,always,false,799700.4665340991,5828092.693084887,-21.426666666666666,
berlin_12d4eb67,28800.0,teleportedWalk,37,f,high,always,false,795636.2006787469,5830477.615113254,-8.91,
berlin_d536998c,28800.0,teleportedWalk,38,m,very_high,always,false,794280.7222473384,5829085.125003611,-7.2333333333333325,
berlin_29c9008a,28800.0,teleportedWalk,63,m,very_high,always,false,795746.9052233405,5831399.588389895,-20.574999999999996,
berlin_644ad96f,28800.0,teleportedWalk,22,f,very_low,always,false,793529.0787533035,5832215.856445363,-18.921,
berlin_29d6a841,28800.0,teleportedWalk,7,m,low,never,false,796999.8095602759,5831191.619773515,-14.483333333333333,
berlin_a63bce59,28800.0,teleportedWalk,45,m,medium,always,false,799454.0408430861,5828682.115500929,-19.863333333333333,
