personId,time,mode,age,sex,economic_status,carAvail,restricted_mobility,homeX,homeY,accessibility
berlin_074c7af3,28800,teleportedWalk,82,m,high,always,FALSE,794721.3646115803,5827901.991,-6.526666667
berlin_075d5ad5,28800,teleportedWalk,60,f,medium,always,FALSE,793401.1109519632,5828631.090617273,-11.63333333
berlin_0792b026,28800,teleportedWalk,22,f,high,always,FALSE,796373.7074527987,5831164.107697462,-13.06
berlin_07967e19,28800,teleportedWalk,38,f,medium,always,FALSE,795556.2187214483,5830681.7291880455,-9.98
berlin_07ba6619,28800,teleportedWalk,9,m,medium,never,FALSE,798754.9569705026,5828606.110399601,-16.24333333
berlin_07c28d10,28800,teleportedWalk,37,f,high,always,FALSE,795649.3861700121,5829333.374660617,-2.96
berlin_07c68c22,28800,teleportedWalk,28,f,high,always,FALSE,794648.0547416082,5831390.642,-14.59
berlin_07e74e07,28800,teleportedWalk,34,f,low,always,FALSE,794613.9699545966,5828363.261966175,-5.7
berlin_080f30fb,28800,teleportedWalk,34,m,low,always,FALSE,798423.1696,5829926.037277182,-15.70666667
berlin_0824cd6a,28800,teleportedWalk,75,m,medium,always,TRUE,794677.4165234372,5828903.965988709,-5.03
berlin_082d7570,28800,teleportedWalk,11,m,high,never,FALSE,795108.0872372017,5828959.508752099,-2.92
berlin_0830f313,28800,teleportedWalk,37,f,very_low,always,FALSE,795245.8040565435,5828757.7259634035,-2.02
berlin_0839f8c1,28800,teleportedWalk,28,f,medium,always,FALSE,797616.2557986403,5828884.281826037,-10.32333333
berlin_083d0e9d,28800,teleportedWalk,68,m,medium,always,TRUE,794492.7253350314,5827342.449724359,-9.48
berlin_0852b4d2,28800,teleportedWalk,46,f,medium,always,FALSE,796961.0347605292,5832078.895228934,-18.56666667
berlin_08531aed,28800,teleportedWalk,21,f,medium,always,FALSE,797169.6437665485,5831330.537217907,-15.55
berlin_0867574b,28800,teleportedWalk,43,f,high,always,FALSE,795397.5864747561,5831186.730183422,-12.65666667
berlin_08708b78,28800,teleportedWalk,33,f,high,always,FALSE,798302.2858676217,5826906.251524295,-16.9
berlin_087740eb,28800,teleportedWalk,17,m,high,never,FALSE,795715.8282471867,5830743.2767305095,-10.3
berlin_089c235d,28800,teleportedWalk,32,m,very_low,always,FALSE,795777.4690734709,5828002.603629637,-4.026666667
berlin_08bfc29a,28800,teleportedWalk,55,f,medium,always,FALSE,799134.0894661408,5826924.661899415,-20.55666667
