"id","xcoord","ycoord","personId","homeX","homeY","mode","age","sex","economic_status","accessibility","teleportedWalk_accessibility","diff","distance_m"
1493,799947.408558944,5827845.83349804,"berlin_49dbbede",799941.202880426,5827846.662,"teleportedWalk",17,"m","medium",-22.89333333,-22.9266666666667,0.03,6.26
1531,800147.408558944,5827845.83349804,"berlin_0a68f03f",800200.645746887,5827796.918,"teleportedWalk",24,"m","high",-24.26666667,-23.9466666666667,0.32,72.3
316,793747.408558944,5828045.83349804,"berlin_80b0bd67",793734.2643,5828028.393923,"teleportedWalk",3,"m","very_low",-10.59333333,-10.4966666666667,0.1,21.84
354,793947.408558944,5828045.83349804,"berlin_e9060ff9",793960.901365766,5828118.1712001,"teleportedWalk",45,"m","very_high",-9.326666667,-9.53333333333333,0.21,73.59
392,794147.408558944,5828045.83349804,"berlin_d9b62fd3",794184.608582347,5828075.237,"teleportedWalk",3,"m","medium",-8.346666667,-8.58666666666667,0.24,47.42
430,794347.408558944,5828045.83349804,"berlin_11b9189f",794323.190774733,5828000.90290563,"teleportedWalk",52,"f","high",-7.886666667,-7.66333333333333,0.22,51.04
468,794547.408558944,5828045.83349804,"berlin_a5ff1425",794503.686017562,5828114.44530422,"teleportedWalk",82,"m","medium",-6.78,-6.77333333333333,0.01,81.36
506,794747.408558944,5828045.83349804,"berlin_e5678425",794693.63720225,5827985.22366664,"teleportedWalk",18,"f","very_high",-6.35,-5.93333333333333,0.42,81.02
544,794947.408558944,5828045.83349804,"berlin_5f276389",794990.9403302,5828002.50879869,"teleportedWalk",88,"m","high",-5.183333333,-5.16666666666667,0.02,61.42
582,795147.408558944,5828045.83349804,"berlin_eccc8ef4",795096.3813,5828030.33962081,"teleportedWalk",62,"f","low",-4.73,-4.51,0.22,53.33
620,795347.408558944,5828045.83349804,"berlin_ef0d5291",795361.280019391,5828023.571,"teleportedWalk",19,"f","very_low",-4.1,-4.02,0.08,26.23
658,795547.408558944,5828045.83349804,"berlin_bfbcde80",795568.415085969,5828062.13708784,"teleportedWalk",32,"m","medium",-3.663333333,-3.76,0.1,26.59
696,795747.408558944,5828045.83349804,"berlin_4a01c1f9",795737.128700026,5828049.41097262,"teleportedWalk",53,"f","very_high",-3.75,-3.77666666666667,0.03,10.88
924,796947.408558944,5828045.83349804,"berlin_79620f23",796988.215663133,5828125.115,"teleportedWalk",35,"m","low",-7.78,-7.78,0,89.17
962,797147.408558944,5828045.83349804,"berlin_013399c8",797144.53908397,5828084.88950526,"teleportedWalk",81,"m","medium",-8.606666667,-8.70666666666667,0.1,39.16
1000,797347.408558944,5828045.83349804,"berlin_4dd967cb",797408.550498156,5828072.201,"teleportedWalk",44,"m","medium",-9.9,-9.65666666666667,0.24,66.59
1076,797747.408558944,5828045.83349804,"berlin_45ae065f",797799.4881,5828083.7598647,"teleportedWalk",18,"f","high",-11.79666667,-11.6,0.2,64.43
1114,797947.408558944,5828045.83349804,"berlin_cb7c4165",797895.100618273,5828063.36378064,"teleportedWalk",51,"m","very_high",-12.30333333,-12.59,0.29,55.17
1266,798747.408558944,5828045.83349804,"berlin_540019ab",798797.121213446,5828072.00725504,"teleportedWalk",24,"f","low",-16.83333333,-16.61,0.22,56.18
1456,799747.408558944,5828045.83349804,"berlin_8de44a24",799734.864047607,5828063.21712452,"teleportedWalk",40,"f","low",-21.63,-21.7066666666667,0.08,21.44
1494,799947.408558944,5828045.83349804,"berlin_ccc197ec",799910.824812845,5828060.75638474,"teleportedWalk",7,"m","high",-22.53333333,-22.7333333333333,0.2,39.51
1532,800147.408558944,5828045.83349804,"berlin_143d0ddc",800145.376741182,5827986.31922188,"teleportedWalk",31,"f","medium",-23.8,-23.76,0.04,59.55
127,792747.408558944,5828245.83349804,"berlin_7dc4a2ac",792754.299164797,5828310.67217981,"teleportedWalk",48,"m","very_high",-15.16,-15.25,0.09,65.2
165,792947.408558944,5828245.83349804,"berlin_6d38fa6b",792919.079774521,5828304.46930408,"teleportedWalk",52,"f","high",-14.32,-14.23,0.09,65.12
203,793147.408558944,5828245.83349804,"berlin_34a17e53",793132.679318818,5828308.7932908,"teleportedWalk",3,"m","high",-13.22333333,-13.21,0.01,64.66
241,793347.408558944,5828245.83349804,"berlin_408e841c",793358.688123694,5828258.95140798,"teleportedWalk",59,"m","very_high",-12.12,-12.1933333333333,0.07,17.3
279,793547.408558944,5828245.83349804,"berlin_1332ead5",793514.68381286,5828261.63799195,"teleportedWalk",7,"m","very_low",-11.32666667,-11.18,0.15,36.34
317,793747.408558944,5828245.83349804,"berlin_8f9c214c",793718.570874839,5828219.46340425,"teleportedWalk",36,"m","very_low",-10.35666667,-10.1733333333333,0.18,39.08
355,793947.408558944,5828245.83349804,"berlin_d7f1dfb5",793930.362874119,5828272.00707717,"teleportedWalk",3,"m","medium",-9.223333333,-9.17666666666667,0.05,31.23
393,794147.408558944,5828245.83349804,"berlin_befda426",794192.358398471,5828268.10092969,"teleportedWalk",4,"m","medium",-7.93,-8.18666666666667,0.26,50.16
431,794347.408558944,5828245.83349804,"berlin_3e85013b",794367.563052625,5828263.0275723,"teleportedWalk",5,"m","low",-7.083333333,-7.21333333333333,0.13,26.49
469,794547.408558944,5828245.83349804,"berlin_a5654243",794604.047472999,5828248.52811661,"teleportedWalk",33,"f","medium",-5.99,-6.26,0.27,56.7
507,794747.408558944,5828245.83349804,"berlin_959c31c2",794797.177851848,5828323.87305027,"teleportedWalk",39,"f","very_high",-4.916666667,-5.34,0.42,92.56
545,794947.408558944,5828245.83349804,"berlin_27430591",794974.555297068,5828266.95361004,"teleportedWalk",31,"f","very_low",-4.293333333,-4.47333333333333,0.18,34.39
583,795147.408558944,5828245.83349804,"berlin_9a564aea",795227.104883992,5828207.94259207,"teleportedWalk",98,"m","very_high",-3.583333333,-3.69666666666667,0.11,88.25
621,795347.408558944,5828245.83349804,"berlin_36071c5c",795315.089420018,5828260.48308818,"teleportedWalk",22,"f","low",-3.096666667,-3.07666666666667,0.02,35.48
659,795547.408558944,5828245.83349804,"berlin_097d56f9",795583.12916171,5828244.71617441,"teleportedWalk",3,"m","medium",-2.71,-2.73,0.02,35.74
697,795747.408558944,5828245.83349804,"berlin_0547a1f1",795709.675532074,5828261.1890144,"teleportedWalk",37,"f","very_low",-2.64,-2.75333333333333,0.11,40.74
963,797147.408558944,5828245.83349804,"berlin_70414c70",797093.676431424,5828213.23205361,"teleportedWalk",51,"m","high",-8.106666667,-8.31333333333333,0.21,62.85
1001,797347.408558944,5828245.83349804,"berlin_79ed2174",797346.58946659,5828245.73089737,"teleportedWalk",4,"m","very_high",-9.3,-9.30333333333333,0,0.83
1039,797547.408558944,5828245.83349804,"berlin_94cf6db6",797586.561116165,5828247.68183557,"teleportedWalk",52,"m","high",-10.49666667,-10.3033333333333,0.19,39.2
1077,797747.408558944,5828245.83349804,"berlin_9b17800c",797748.6824,5828304.45370752,"teleportedWalk",34,"f","medium",-11.24666667,-11.31,0.06,58.63
1305,798947.408558944,5828245.83349804,"berlin_c3215c70",798967.956259375,5828273.84135088,"teleportedWalk",53,"f","very_low",-17.51666667,-17.4333333333333,0.08,34.74
1495,799947.408558944,5828245.83349804,"berlin_99588211",799908.886675403,5828208.86939275,"teleportedWalk",9,"m","low",-22.41,-22.5866666666667,0.18,53.39
1533,800147.408558944,5828245.83349804,"berlin_3cd48892",800060.556931623,5828275.1469136,"teleportedWalk",55,"f","high",-23.15333333,-23.62,0.47,91.67
1571,800347.408558944,5828245.83349804,"berlin_f4d21515",800316.293029691,5828298.20863312,"teleportedWalk",44,"f","very_high",-24.46333333,-24.6533333333333,0.19,60.92
166,792947.408558944,5828445.83349804,"berlin_b110d8f7",792922.428641973,5828373.22597181,"teleportedWalk",33,"m","high",-14.24666667,-14.07,0.18,76.78
204,793147.408558944,5828445.83349804,"berlin_786c05ad",793150.486321689,5828542.09528552,"teleportedWalk",63,"m","high",-12.96666667,-13.0366666666667,0.07,96.31
242,793347.408558944,5828445.83349804,"berlin_4641bad0",793347.973820462,5828466.796,"teleportedWalk",49,"f","low",-11.99,-12.0066666666667,0.02,20.97
280,793547.408558944,5828445.83349804,"berlin_9e933bb1",793529.451588398,5828474.52982001,"teleportedWalk",33,"m","high",-11.04666667,-10.9766666666667,0.07,33.85
318,793747.408558944,5828445.83349804,"berlin_bbd5499f",793767.927592805,5828438.40229232,"teleportedWalk",7,"m","low",-9.85,-9.95,0.1,21.82
356,793947.408558944,5828445.83349804,"berlin_d0c3407d",793936.524432262,5828420.77631744,"teleportedWalk",68,"m","medium",-9.006666667,-8.92666666666667,0.08,27.32
394,794147.408558944,5828445.83349804,"berlin_3396b86a",794142.2903,5828431.6287459,"teleportedWalk",40,"m","medium",-7.95,-7.90666666666667,0.04,15.1
432,794347.408558944,5828445.83349804,"berlin_b971773c",794425.633925498,5828393.56554431,"teleportedWalk",51,"f","low",-6.573333333,-6.89333333333333,0.32,94.08
470,794547.408558944,5828445.83349804,"berlin_28554d0a",794522.160353516,5828482.1920834,"teleportedWalk",44,"f","medium",-5.966666667,-5.89,0.08,44.27
508,794747.408558944,5828445.83349804,"berlin_4b107087",794766.595634381,5828474.7335889,"teleportedWalk",71,"m","low",-4.756666667,-4.9,0.14,34.69
546,794947.408558944,5828445.83349804,"berlin_af614938",794936.271561365,5828445.62674941,"teleportedWalk",29,"f","medium",-3.99,-3.93666666666667,0.05,11.14
584,795147.408558944,5828445.83349804,"berlin_819172f9",795103.657940543,5828467.131,"teleportedWalk",42,"f","medium",-3.16,-3.02333333333333,0.14,48.66
622,795347.408558944,5828445.83349804,"berlin_7b6729e0",795366.245076766,5828461.34568178,"teleportedWalk",53,"m","very_low",-2.1,-2.22666666666667,0.13,24.4
660,795547.408558944,5828445.83349804,"berlin_2130c3f5",795548.767566536,5828440.07884397,"teleportedWalk",49,"f","very_high",-1.74,-1.71333333333333,0.03,5.91
698,795747.408558944,5828445.83349804,"berlin_23404819",795717.019193226,5828416.14601757,"teleportedWalk",64,"m","medium",-1.856666667,-1.75333333333333,0.1,42.48
736,795947.408558944,5828445.83349804,"berlin_b3326756",795997.5175,5828406.851,"teleportedWalk",65,"m","very_low",-2.643333333,-2.31666666666667,0.33,63.49
