id,xcoord,ycoord,time,teleportedWalk_accessibility
464,794547.4085589435,5827245.83349804,28800.0,-9.706666666666667
502,794747.4085589435,5827245.83349804,28800.0,-9.14
540,794947.4085589435,5827245.83349804,28800.0,-8.663333333333334
578,795147.4085589435,5827245.83349804,28800.0,-8.286666666666667
616,795347.4085589435,5827245.83349804,28800.0,-8.030000000000001
654,795547.4085589435,5827245.83349804,28800.0,-7.903333333333334
692,795747.4085589435,5827245.83349804,28800.0,-7.913333333333334
730,795947.4085589435,5827245.83349804,28800.0,-8.056666666666667
768,796147.4085589435,5827245.83349804,28800.0,-8.33
806,796347.4085589435,5827245.83349804,28800.0,-8.72
844,796547.4085589435,5827245.83349804,28800.0,-9.209999999999999
882,796747.4085589435,5827245.83349804,28800.0,-9.786666666666667
920,796947.4085589435,5827245.83349804,28800.0,-10.433333333333334
958,797147.4085589435,5827245.83349804,28800.0,-11.143333333333334
996,797347.4085589435,5827245.83349804,28800.0,-11.9
1034,797547.4085589435,5827245.83349804,28800.0,-12.696666666666665
1072,797747.4085589435,5827245.83349804,28800.0,-13.526666666666666
1110,797947.4085589435,5827245.83349804,28800.0,-14.383333333333333
1148,798147.4085589435,5827245.83349804,28800.0,-15.263333333333335
1186,798347.4085589435,5827245.83349804,28800.0,-16.163333333333334
1224,798547.4085589435,5827245.83349804,28800.0,-17.076666666666668
1262,798747.4085589435,5827245.83349804,28800.0,-18.006666666666668
1300,798947.4085589435,5827245.83349804,28800.0,-18.946666666666665
1338,799147.4085589435,5827245.83349804,28800.0,-19.89666666666667
1376,799347.4085589435,5827245.83349804,28800.0,-20.856666666666666
1414,799547.4085589435,5827245.83349804,28800.0,-21.823333333333334
1452,799747.4085589435,5827245.83349804,28800.0,-22.793333333333333
1490,799947.4085589435,5827245.83349804,28800.0,-23.773333333333333
1528,800147.4085589435,5827245.83349804,28800.0,-24.756666666666668
1566,800347.4085589435,5827245.83349804,28800.0,-25.743333333333332
9,792147.4085589435,5827445.83349804,28800.0,-19.383333333333333
47,792347.4085589435,5827445.83349804,28800.0,-18.413333333333334
85,792547.4085589435,5827445.83349804,28800.0,-17.453333333333333
123,792747.4085589435,5827445.83349804,28800.0,-16.503333333333334
161,792947.4085589435,5827445.83349804,28800.0,-15.563333333333333
199,793147.4085589435,5827445.83349804,28800.0,-14.636666666666667
237,793347.4085589435,5827445.83349804,28800.0,-13.726666666666667
275,793547.4085589435,5827445.83349804,28800.0,-12.833333333333332
313,793747.4085589435,5827445.83349804,28800.0,-11.966666666666667
351,793947.4085589435,5827445.83349804,28800.0,-11.129999999999999
389,794147.4085589435,5827445.83349804,28800.0,-10.33
427,794347.4085589435,5827445.83349804,28800.0,-9.576666666666666
465,794547.4085589435,5827445.83349804,28800.0,-8.883333333333333
503,794747.4085589435,5827445.83349804,28800.0,-8.26
541,794947.4085589435,5827445.83349804,28800.0,-7.726666666666667
579,795147.4085589435,5827445.83349804,28800.0,-7.303333333333333
617,795347.4085589435,5827445.83349804,28800.0,-7.013333333333334
655,795547.4085589435,5827445.83349804,28800.0,-6.866666666666666
693,795747.4085589435,5827445.83349804,28800.0,-6.876666666666667
731,795947.4085589435,5827445.83349804,28800.0,-7.043333333333334
769,796147.4085589435,5827445.83349804,28800.0,-7.3533333333333335
807,796347.4085589435,5827445.83349804,28800.0,-7.79
845,796547.4085589435,5827445.83349804,28800.0,-8.333333333333332
883,796747.4085589435,5827445.83349804,28800.0,-8.966666666666667
921,796947.4085589435,5827445.83349804,28800.0,-9.67
959,797147.4085589435,5827445.83349804,28800.0,-10.43
997,797347.4085589435,5827445.83349804,28800.0,-11.236666666666668
1035,797547.4085589435,5827445.83349804,28800.0,-12.076666666666668
1073,797747.4085589435,5827445.83349804,28800.0,-12.946666666666665
1111,797947.4085589435,5827445.83349804,28800.0,-13.84
1149,798147.4085589435,5827445.83349804,28800.0,-14.753333333333332
1187,798347.4085589435,5827445.83349804,28800.0,-15.68
1225,798547.4085589435,5827445.83349804,28800.0,-16.623333333333335
1263,798747.4085589435,5827445.83349804,28800.0,-17.576666666666668
1301,798947.4085589435,5827445.83349804,28800.0,-18.53666666666667
1339,799147.4085589435,5827445.83349804,28800.0,-19.506666666666668
1377,799347.4085589435,5827445.83349804,28800.0,-20.483333333333334
1415,799547.4085589435,5827445.83349804,28800.0,-21.46666666666667
1453,799747.4085589435,5827445.83349804,28800.0,-22.456666666666667
1491,799947.4085589435,5827445.83349804,28800.0,-23.45
1529,800147.4085589435,5827445.83349804,28800.0,-24.443333333333335
1567,800347.4085589435,5827445.83349804,28800.0,-25.443333333333335
10,792147.4085589435,5827645.83349804,28800.0,-19.04
48,792347.4085589435,5827645.83349804,28800.0,-18.053333333333335
86,792547.4085589435,5827645.83349804,28800.0,-17.07333333333333
124,792747.4085589435,5827645.83349804,28800.0,-16.096666666666668
162,792947.4085589435,5827645.83349804,28800.0,-15.133333333333333
200,793147.4085589435,5827645.83349804,28800.0,-14.176666666666666
238,793347.4085589435,5827645.83349804,28800.0,-13.236666666666665
276,793547.4085589435,5827645.83349804,28800.0,-12.31
314,793747.4085589435,5827645.83349804,28800.0,-11.403333333333332
352,793947.4085589435,5827645.83349804,28800.0,-10.523333333333333
390,794147.4085589435,5827645.83349804,28800.0,-9.673333333333334
428,794347.4085589435,5827645.83349804,28800.0,-8.863333333333333
466,794547.4085589435,5827645.83349804,28800.0,-8.106666666666667
504,794747.4085589435,5827645.83349804,28800.0,-7.42
542,794947.4085589435,5827645.83349804,28800.0,-6.823333333333332
580,795147.4085589435,5827645.83349804,28800.0,-6.34
618,795347.4085589435,5827645.83349804,28800.0,-6.0
656,795547.4085589435,5827645.83349804,28800.0,-5.83
694,795747.4085589435,5827645.83349804,28800.0,-5.84
732,795947.4085589435,5827645.83349804,28800.0,-6.033333333333333
770,796147.4085589435,5827645.83349804,28800.0,-6.3933333333333335
