personId,time,mode,age,sex,economic_status,carAvail,restricted_mobility,homeX,homeY,accessibility
bb_15fa4b89,28800.0,car,32,f,high,always,false,774535.97,5814805.26,-22.760933521002393,
bb_00255009,28800.0,car,5,m,high,never,false,775287.13,5830578.13,-17.82940160051679,
bb_136c8642,28800.0,car,56,m,very_low,always,false,817723.38,5832539.62,-26.197441868008156,
bb_0ff3b155,28800.0,car,20,m,high,always,false,801402.09,5808216.31,-26.46615025919649,
bb_0969f82e,28800.0,car,14,f,medium,never,false,770347.49,5813394.39,-20.04874994631622,
bb_0448433c,28800.0,car,59,m,medium,always,false,787720.7,5814876.04,-25.086995316926753,
bb_030ee344,28800.0,car,54,f,high,always,false,769355.22,5849414.75,-14.140272964081223,
bb_081b63a4,28800.0,car,61,f,medium,always,true,775732.49,5813081.13,-22.16567859022821,
bb_124ffa53,28800.0,car,1,f,medium,never,false,792971.87,5805819.48,-25.304938603399847,
bb_0c7e3adc,28800.0,car,72,f,very_low,always,false,785922.58,5850815.4,-21.44607421996075,
bb_021df9c7,28800.0,car,19,f,medium,always,true,817551.71,5788395.02,-34.10793736990655,
bb_07a92780,28800.0,car,4,m,very_low,never,false,785304.89,5854941.6,-24.10294296745952,
bb_0ba8204d,28800.0,car,33,m,high,always,true,780253.9,5848802.28,-20.83887386664261,
bb_0aa923da,28800.0,car,60,m,very_low,always,true,777006.17,5840072.55,-16.110618935910804,
bb_06fe0950,28800.0,car,74,f,very_low,always,false,793533.32,5810827.87,-28.737352031295657,
bb_0d82a722,28800.0,car,20,m,high,always,false,827171.6,5818212.47,-29.997781863740347,
bb_1045cc47,28800.0,car,66,f,high,always,false,789808.77,5803181.07,-29.714888616362686,
bb_01e7cd45,28800.0,car,27,m,high,always,false,790146.88,5802740.52,-24.949895387842844,
bb_071f4524,28800.0,car,28,m,high,always,false,802371.19,5806257.94,-37.914961282883645,
bb_04cd0d39,28800.0,car,2,m,high,never,false,831889.92,5822843.38,-27.67838700224024,
bb_13286e36,28800.0,car,12,m,very_low,never,false,805317.51,5792475.86,-32.47830195863819,
bb_0c783bca,28800.0,car,58,f,medium,always,false,796871.11,5787454.93,-30.99209296058065,
bb_0526a427,28800.0,car,28,m,medium,always,false,877215.64,5812238.18,-85.45434478343371,
bb_13afe690,28800.0,car,40,m,very_low,always,false,807456.72,5847729.09,-34.26796056755949,
bb_07c48486,28800.0,car,52,f,medium,always,true,789089.79,5843831.97,-22.43708816598364,
bb_138726e5,28800.0,car,57,f,medium,always,false,777674.01,5830840.76,-18.83970571291902,
bb_0ea0d8a3,28800.0,car,67,f,low,always,false,778490.86,5810769.64,-31.9247845756884,
bb_0ab02506,28800.0,car,9,f,high,never,false,777013.11,5814420.73,-23.432680685193855,
bb_11f28e95,28800.0,car,55,f,medium,always,true,774971.03,5803796.22,-27.88905707840727,
bb_0ad86771,28800.0,car,36,m,medium,always,false,777229.78,5812769.13,-23.26716661047167,
bb_074ca449,28800.0,car,95,m,high,always,true,786442.0,5815282.55,-18.656435809116367,
bb_11a3054c,28800.0,car,5,f,medium,never,false,783871.99,5840958.78,-19.671185626264688,
bb_0c69ebf4,28800.0,car,2,m,high,never,false,812699.19,5808977.57,-39.0747130414601,
bb_0b50610b,28800.0,car,1,m,medium,never,false,811343.3,5794634.26,-29.368694487233835,
bb_0bbedfbc,28800.0,car,28,f,very_low,always,false,781495.38,5852379.29,-21.046706147260053,
bb_154793a9,28800.0,car,70,m,high,always,false,770508.85,5833650.06,-17.027776177962775,
bb_11e5e398,28800.0,car,18,f,very_low,always,true,775533.41,5828684.85,-19.421666224003353,
bb_0916689a,28800.0,car,27,m,high,always,false,829519.02,5828882.72,-29.86247474998303,
bb_159a3ea7,28800.0,car,48,m,low,always,false,801586.43,5803665.39,-37.37299069231871,
bb_0b54c71c,28800.0,car,41,m,very_low,always,false,776220.76,5813227.42,-21.11453096595215,
bb_129c5b4e,28800.0,car,37,f,high,always,false,807887.64,5837693.34,-42.91557426684414,
