person,age,sex,income_bin,homeX,homeY,district_ord,base_timeCar,base_distCar,base_car_acc,policy_timeCar,policy_distCar,policy_car_acc,delta_timeCar,delta_pct_timeCar,delta_distCar,delta_pct_distCar,delta_car_acc,delta_pct_car_acc
bb_1b041202,19,f,1500,781486.7,5812155.93,NA,2363.346,29969.56,-20.014279888845614,3221.612,39040.97,-28.700933470871675,858.2660000000001,36.315715092077085,9071.41,30.268746020962602,-8.68665358202606,-43.40227892419611
bb_c19b74c3,47,m,3600,781463.11,5812196.13,NA,2363.346,29969.56,-13.457998792120694,3221.612,39040.97,-20.176648828385712,858.2660000000001,36.315715092077085,9071.41,30.268746020962602,-6.718650036265018,-49.92309882059591
bb_cfa0c892,64,f,4600,781437.95,5812232.47,NA,2363.346,29969.56,-12.581309790500747,3221.612,39040.97,-18.994369214069952,858.2660000000001,36.315715092077085,9071.41,30.268746020962602,-6.413059423569205,-50.972907673025034
bb_fe9969a2,5,f,3600,781391.91,5812240.99,NA,2363.346,29969.56,-13.645097933281516,3221.612,39040.97,-20.363747969546534,858.2660000000001,36.315715092077085,9071.41,30.268746020962602,-6.718650036265018,-49.238562222977365
berlin_009593de,40,f,1500,795481.6713374602,5818394.316506472,Steglitz-Zehlendorf,1625.36,11908.16,-10.92776857331126,3044.955,26725.15,-23.562036477234194,1419.595,87.34034306246001,14816.990000000002,124.4271995001747,-12.634267903922934,-115.61617377933345
berlin_db218c16,29,f,3000,795400.5660422924,5818363.449748778,Steglitz-Zehlendorf,1625.36,11908.16,-8.676942861413332,3044.955,26725.15,-18.617017062982434,1419.595,87.34034306246001,14816.990000000002,124.4271995001747,-9.940074201569102,-114.55733154326691
berlin_c55b7614,63,f,2000,812094.7349730276,5828353.409994938,Marzahn-Hellersdorf,2465.308,20069.59,-14.834593137252485,3259.756,24065.1,-21.04926812159984,794.4479999999999,32.22510128551888,3995.5099999999984,19.908279142722886,-6.214674984347356,-41.89312727924519
berlin_94fef5c4,32,m,2000,796637.9245991623,5833014.465606027,Reinickendorf,758.625,5669.68,-5.086873536472986,630.476,4723.13,-6.847735366479959,-128.149,-16.892272202998846,-946.5500000000002,-16.694945746497158,-1.7608618300069736,-34.61579725506362
berlin_784b4a79,1,m,900,788284.8014759889,5826080.942914317,Charlottenburg-Wilmersdorf,1165.658,8922.26,-10.497406952195684,2517.539,16706.71,-22.28087517749893,1351.8810000000003,115.97578363465102,7784.449999999999,87.24751352235867,-11.783468225303247,-112.2512281267572
berlin_df9eecea,91,m,500,788128.9569784612,5826085.703514986,Charlottenburg-Wilmersdorf,1165.658,8922.26,-15.141785599505992,2517.539,16706.71,-30.785375164093754,1351.8810000000003,115.97578363465102,7784.449999999999,87.24751352235867,-15.643589564587762,-103.31403427808502
bb_89a669a2,13,f,3000,809445.2,5846089.24,NA,2671.536,27845.61,-15.214515273101075,3110.541,27212.37,-19.01215864792361,439.0050000000001,16.432681423720293,-633.2400000000016,-2.2741107126042546,-3.7976433748225347,-24.96065965070004
berlin_16ad4838,63,f,3000,801956.8382807855,5822819.229664368,Neukölln,1307.713,10537.5,-7.284390383249341,3315.504,31215.45,-20.274210189809246,2007.791,153.5345293653883,20677.95,196.2320284697509,-12.989819806559904,-178.32404804155414
berlin_48d9d5e1,46,f,4600,801828.5515539113,5822855.151243027,Neukölln,1307.713,10537.5,-6.737460559961682,3315.504,31215.45,-18.54614500246002,2007.791,153.5345293653883,20677.95,196.2320284697509,-11.808684442498336,-175.26906966510683
berlin_8bd911b1,51,m,1500,802001.786231193,5822844.20736508,Neukölln,1307.713,10537.5,-9.463770777460327,3315.504,31215.45,-26.298727172715893,2007.791,153.5345293653883,20677.95,196.2320284697509,-16.834956395255567,-177.8884631837348
berlin_a70b426f,1,m,5600,801903.6691993714,5822796.9622971015,Neukölln,1307.713,10537.5,-6.423927656122135,3315.504,31215.45,-17.62850547507335,2007.791,153.5345293653883,20677.95,196.2320284697509,-11.204577818951215,-174.41942715953567
bb_8e1c6b14,16,m,3000,827771.36,5819358.91,NA,3576.472,45192.43,-21.490384153629844,3651.662,58112.41,-26.595579172553542,75.1899999999996,2.1023511438087477,12919.980000000003,28.58881454261256,-5.105195018923698,-23.75571782443639
bb_950a4d89,21,f,2000,827818.92,5819452.38,NA,3576.472,45192.43,-26.004327993584216,3651.662,58112.41,-32.31078057970428,75.1899999999996,2.1023511438087477,12919.980000000003,28.58881454261256,-6.306452586120063,-24.25154992536623
bb_f57fdcbe,33,m,5600,827680.95,5819604.41,NA,3576.472,45192.43,-18.64199180623512,3651.662,58112.41,-22.631733369905046,75.1899999999996,2.1023511438087477,12919.980000000003,28.58881454261256,-3.989741563669927,-21.401906004140034
berlin_772c50b2,46,f,2000,798724.8553501196,5812767.936804241,Tempelhof-Schöneberg,2491.674,19508.37,-14.766592647937149,3533.082,33137.96,-24.491703565229088,1041.408,41.795515785772935,13629.59,69.86534497756604,-9.72511091729194,-65.85886906449275
berlin_8605c20d,5,m,3600,798749.2720284909,5812928.282476268,Tempelhof-Schöneberg,2491.674,19508.37,-12.328395263140544,3533.082,33137.96,-20.36385979550167,1041.408,41.795515785772935,13629.59,69.86534497756604,-8.035464532361127,-65.17851156496882
berlin_bb759ac2,67,m,1500,798790.4559904572,5812829.962159287,Tempelhof-Schöneberg,2491.674,19508.37,-16.585020664291594,3533.082,33137.96,-27.57736637028165,1041.408,41.795515785772935,13629.59,69.86534497756604,-10.992345705990054,-66.27875797379706
bb_9285f34e,18,m,3600,817549.94,5802101.35,NA,3460.181,42598.63,-19.097452988539267,4799.979,59962.04,-28.706148180435676,1339.7980000000002,38.72045999905786,17363.410000000003,40.760489245780924,-9.608695191896409,-50.31401411310065
berlin_ec0643b1,42,f,5600,799338.9089994207,5815125.442892576,Tempelhof-Schöneberg,2044.836,16205.46,-9.653180978358806,3428.979,32946.35,-18.386730358313116,1384.1429999999998,67.68968269337981,16740.89,103.3040098830888,-8.73354937995431,-90.4732792178434
berlin_2dc24e7b,34,f,3600,794231.4146764614,5821621.990179704,Steglitz-Zehlendorf,1106.319,8335.99,-6.006845411764581,2773.739,22933.32,-16.278978787988628,1667.42,150.71783093303108,14597.33,175.1121342516006,-10.272133376224048,-171.0071205778956
berlin_3f066b04,91,m,2000,794273.5404586412,5821625.940256395,Steglitz-Zehlendorf,1106.319,8335.99,-7.127394875688873,2773.739,22933.32,-19.209144378600666,1667.42,150.71783093303108,14597.33,175.1121342516006,-12.081749502911793,-169.5114373994057
berlin_4ee7933d,23,f,2000,794181.9554840022,5821623.60626619,Steglitz-Zehlendorf,1106.319,8335.99,-6.935004708258011,2773.739,22933.32,-19.01675421116981,1667.42,150.71783093303108,14597.33,175.1121342516006,-12.081749502911801,-174.21400577457703
berlin_696a55f1,63,f,500,794241.8069289197,5821738.408435771,Tempelhof-Schöneberg,1106.319,8335.99,-14.284627886318821,2773.739,22933.32,-38.58128624437299,1667.42,150.71783093303108,14597.33,175.1121342516006,-24.296658358054167,-170.0895434687831
berlin_ad373cce,22,f,5600,794269.5945004091,5821682.850725429,Steglitz-Zehlendorf,1106.319,8335.99,-5.566017759600668,2773.739,22933.32,-15.030286793553392,1667.42,150.71783093303108,14597.33,175.1121342516006,-9.464269033952725,-170.03663018552308
berlin_d2f67ff1,23,f,500,794205.6236824689,5821692.408086341,Tempelhof-Schöneberg,1106.319,8335.99,-14.149184451406573,2773.739,22933.32,-38.44584280946074,1667.42,150.71783093303108,14597.33,175.1121342516006,-24.29665835805417,-171.7177300324107
bb_2948ef6a,39,f,2000,785230.06,5779313.12,NA,4388.804,59765.51,-33.739451356908525,4878.211,71896.42,-41.20653181757314,489.40700000000015,11.151261254774651,12130.909999999996,20.29750938292001,-7.467080460664619,-22.131600130882543
bb_b979ed61,26,f,3000,785120.48,5779562.53,NA,4388.804,59765.51,-27.309515830605978,4878.211,71896.42,-33.64870387700385,489.40700000000015,11.151261254774651,12130.909999999996,20.29750938292001,-6.339188046397869,-23.212378006692795
berlin_5710fb37,45,f,3000,803146.4039784013,5824323.830116995,Treptow-Köpenick,1458.342,11703.32,-8.067791183848113,3724.82,27908.17,-21.08811251645904,2266.478,155.41471067829082,16204.849999999999,138.46370089854844,-13.020321332610928,-161.38644439233732
berlin_08971b8f,35,f,900,812845.3845843973,5828199.57774806,Marzahn-Hellersdorf,2633.065,21118.48,-22.82251847389899,3365.361,26057.86,-30.77720122076584,732.2959999999998,27.811542821768537,4939.380000000001,23.38889920107887,-7.9546827468668475,-34.85453525194528
berlin_df5240cb,42,f,3600,812854.0980966698,5828199.1687777275,Marzahn-Hellersdorf,2633.065,21118.48,-13.00967810940547,3365.361,26057.86,-18.66812370952041,732.2959999999998,27.811542821768537,4939.380000000001,23.38889920107887,-5.658445600114938,-43.494124547356094
bb_0c276570,48,f,500,796006.33,5857298.27,NA,2667.628,36150.05,-50.1773178403767,3001.33,32345.6,-49.49738967017565,333.70199999999977,12.509315391801247,-3804.4500000000044,-10.524051833953216,0.6799281702010518,1.3550508466076816
berlin_49ea8a65,21,m,500,788482.828895705,5826132.453927572,Charlottenburg-Wilmersdorf,1178.414,9021.48,-15.037304456246561,2530.539,16805.93,-30.69911271090792,1352.1250000000002,114.74108420300509,7784.450000000001,86.28794831890113,-15.661808254661358,-104.15303022048859
berlin_18400a71,12,m,3600,794546.5450889962,5828687.189740319,Mitte,381.189,1898.6,-2.5690357020472,178.395,1605.83,-8.240167153106515,-202.794,-53.20038091340516,-292.77,-15.4203097018856,-5.671131451059315,-220.74942152575508
berlin_71887cc9,62,m,3000,794543.2760077566,5828682.668734733,Mitte,381.189,1898.6,-2.6376512794505262,178.395,1605.83,-8.305908978091137,-202.794,-53.20038091340516,-292.77,-15.4203097018856,-5.668257698640611,-214.89791856872824
bb_2f4d8657,2,f,3600,814495.66,5812026.89,NA,3059.718,32958.7,-16.492392063764537,4598.766,41883.1,-25.457534583475997,1539.0479999999998,50.30032179436144,8924.400000000001,27.07752429555778,-8.96514251971146,-54.3592614403631
bb_8526d36e,29,m,900,814375.56,5812108.4,NA,3059.718,32958.7,-31.728117003321028,4598.766,41883.1,-44.842067428573834,1539.0479999999998,50.30032179436144,8924.400000000001,27.07752429555778,-13.113950425252806,-41.33226823350453
berlin_3c31af2d,28,f,1500,800791.1963659335,5827482.094338513,Friedrichshain-Kreuzberg,1002.734,7022.91,-7.245466154113018,2078.896,11715.31,-22.01338221631326,1076.1620000000003,107.32277952079018,4692.4,66.81560777512455,-14.767916062200243,-203.82285622598584
berlin_7e025502,23,f,1500,800827.9830443915,5827485.662196788,Friedrichshain-Kreuzberg,1002.734,7022.91,-7.131818248791826,2078.896,11715.31,-21.886539916598462,1076.1620000000003,107.32277952079018,4692.4,66.81560777512455,-14.754721667806635,-206.88583406210856
berlin_e5c7a623,37,m,2600,800870.6351903537,5827458.62130775,Friedrichshain-Kreuzberg,1002.734,7022.91,-5.833313190297057,2078.896,11715.31,-19.97367528674662,1076.1620000000003,107.32277952079018,4692.4,66.81560777512455,-14.140362096449563,-242.40704442151642
berlin_f9dc26e5,75,m,5600,800955.1763694792,5827433.825706613,Friedrichshain-Kreuzberg,1002.734,7022.91,-5.272393834246022,2078.896,11715.31,-18.42882023977526,1076.1620000000003,107.32277952079018,4692.4,66.81560777512455,-13.156426405529238,-249.53421195650634
berlin_87313372,18,f,1500,803695.9515015536,5838983.321709443,Pankow,1820.683,16976.17,-13.379941747631639,2080.005,15728.53,-16.232388986806587,259.3220000000001,14.243116456846145,-1247.6399999999976,-7.349360898247354,-2.852447239174948,-21.318831523910447
berlin_fda05eb6,19,f,3000,803618.8040807148,5839031.025333251,Pankow,1820.683,16976.17,-10.21208998269181,2080.005,15728.53,-13.296540211211463,259.3220000000001,14.243116456846145,-1247.6399999999976,-7.349360898247354,-3.0844502285196533,-30.203907659914897
berlin_6276540d,35,f,5600,789963.1827255462,5834936.852487728,Reinickendorf,1384.854,11097.55,-6.704858660293298,1509.846,10097.41,-9.473913333750135,124.99199999999996,9.025644580583943,-1000.1399999999994,-9.012259462674189,-2.7690546734568366,-41.29922514035079
berlin_03bf8252,12,m,2000,799054.5442014593,5814898.57800564,Tempelhof-Schöneberg,2052.005,16084.94,-12.437002513575976,3410.534,32840.78,-24.091188991893706,1358.529,66.20495564094628,16755.839999999997,104.17098229772691,-11.65418647831773,-93.70574996343579
berlin_1e77757f,56,f,3600,782214.1966642869,5826631.741528462,Spandau,1909.411,15950.56,-9.9536468261973,2714.303,23130.6,-16.201294514431268,804.8919999999998,42.153941712915646,7180.039999999999,45.01434432396103,-6.247647688233968,-62.767423812854176
berlin_7609495f,10,m,500,782315.0713804499,5826536.930096128,Spandau,1909.411,15950.56,-25.299815995776427,2714.303,23130.6,-38.44575606696945,804.8919999999998,42.153941712915646,7180.039999999999,45.01434432396103,-13.145940071193024,-51.960615339604125
bb_3a6c68b7,54,m,3000,825776.02,5831166.64,NA,3560.529,36398.96,-20.07223439313562,3638.343,49822.41,-25.279798073087616,77.81399999999985,2.1854617670576437,13423.450000000004,36.8786635662118,-5.2075636799519955,-25.944115527730673
bb_d7cc22a3,47,f,500,814301.6,5808100.81,NA,3205.466,33736.81,-49.29291246962444,4525.506,50148.32,-74.4557559093177,1320.0400000000004,41.18090786175864,16411.510000000002,48.645707759565894,-25.162843439693262,-51.047589154321635
berlin_a74dda71,56,m,2600,799458.9748706726,5837780.154628388,Pankow,1451.866,12563.09,-8.505128542472406,1523.588,10631.34,-10.781768866824583,71.72199999999998,4.939987574610878,-1931.75,-15.376392272920118,-2.2766403243521776,-26.76785321918683
berlin_a98a3ffe,2,m,2600,799426.3751145259,5837816.577529877,Pankow,1451.866,12563.09,-8.617900506451917,1523.588,10631.34,-10.894540830804056,71.72199999999998,4.939987574610878,-1931.75,-15.376392272920118,-2.2766403243521385,-26.417574937743808
berlin_d98f1541,41,f,3600,799482.0092951844,5837792.161177711,Pankow,1451.866,12563.09,-7.780510750668216,1523.588,10631.34,-10.17228428618116,71.72199999999998,4.939987574610878,-1931.75,-15.376392272920118,-2.391773535512944,-30.740572337202035
bb_8d24694b,8,m,4600,799816.06,5806682.31,NA,3134.902,29318.58,-15.021313586921034,4117.006,42645.39,-22.36323573719866,982.1040000000003,31.328060653889665,13326.809999999998,45.45516870189483,-7.341922150277627,-48.87669848441347
berlin_0018199d,32,f,2600,792749.5273724439,5815656.085247691,Steglitz-Zehlendorf,1771.203,16147.93,-10.84425297855687,3227.943,28724.69,-20.8505905111312,1456.7400000000002,82.24579565414017,12576.759999999998,77.88465766200372,-10.006337532574332,-92.27318426046118
berlin_149b0102,52,f,3000,792697.1070713135,5815458.7976462515,Steglitz-Zehlendorf,1771.203,16147.93,-9.996356389702092,3227.943,28724.69,-19.642895124759526,1456.7400000000002,82.24579565414017,12576.759999999998,77.88465766200372,-9.646538735057435,-96.50054838976102
berlin_2df7987f,74,m,900,792713.1064130228,5815643.814349208,Steglitz-Zehlendorf,1771.203,16147.93,-17.25340971365365,3227.943,28724.69,-32.35689687771731,1456.7400000000002,82.24579565414017,12576.759999999998,77.88465766200372,-15.103487164063662,-87.53914394156752
